time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-17 00:00:00+00:00,108,43,80,14
2026-08-18 00:00:00+00:00,76,44,63,11
2026-08-19 00:00:00+00:00,172,47,126,12
2026-08-20 00:00:00+00:00,33,32,10,7
2026-08-21 00:00:00+00:00,54,34,52,8
2026-08-22 00:00:00+00:00,41,29,20,7
2026-08-23 00:00:00+00:00,30,28,21,7
2026-08-24 00:00:00+00:00,36,30,15,5
2026-08-25 00:00:00+00:00,237,61,131,12
2026-08-26 00:00:00+00:00,228,60,157,5
2026-08-27 00:00:00+00:00,178,46,151,8
2026-08-28 00:00:00+00:00,166,37,120,8
2026-08-29 00:00:00+00:00,124,64,38,5
2026-08-30 00:00:00+00:00,53,43,9,3
