time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-05 00:00:00+00:00,361,80,106,6
2026-09-06 00:00:00+00:00,156,58,130,2
2026-09-07 00:00:00+00:00,219,78,72,5
2026-09-08 00:00:00+00:00,294,68,87,8
2026-09-09 00:00:00+00:00,202,62,74,10
2026-09-10 00:00:00+00:00,87,39,61,4
2026-09-11 00:00:00+00:00,63,51,21,6
2026-09-12 00:00:00+00:00,226,81,2,2
2026-09-13 00:00:00+00:00,41,38,7,2
2026-09-14 00:00:00+00:00,61,41,4,2
2026-09-15 00:00:00+00:00,33,32,9,3
2026-09-16 00:00:00+00:00,182,51,75,6
2026-09-17 00:00:00+00:00,55,40,2,2
2026-09-18 00:00:00+00:00,39,32,7,7
