time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-31 00:00:00+00:00,224,60,103,14
2026-08-01 00:00:00+00:00,118,45,65,8
2026-08-02 00:00:00+00:00,68,34,75,12
2026-08-03 00:00:00+00:00,160,41,81,10
2026-08-04 00:00:00+00:00,56,39,93,30
2026-08-05 00:00:00+00:00,102,40,102,15
2026-08-06 00:00:00+00:00,41,31,41,12
2026-08-07 00:00:00+00:00,231,50,116,7
2026-08-08 00:00:00+00:00,291,69,121,2
2026-08-09 00:00:00+00:00,493,76,254,12
2026-08-10 00:00:00+00:00,276,58,171,11
2026-08-11 00:00:00+00:00,178,54,101,10
2026-08-12 00:00:00+00:00,185,58,136,14
2026-08-13 00:00:00+00:00,180,51,47,11
